LGA_code,LGA_Name,LGA_Name_abbr,MedianAge,MedianMortgage,MedianPersonIncome,MedianRent,MedianFamilyIncome,AverageBedroom,MedianHouseholdIncome,AverageHouseSize,Male,Female,Area,Population,Citizen,MaleAge(0-14),MaleAge(15-24),MaleAge(25-34),MaleAge(35-44),MaleAge(45-54),MaleAge(55-64),MaleAge(65-74),MaleAge(75-84),MaleAge(0ver85),TotalMale(allages),FemaleAge(0-14),FemaleAge(15-24),FemaleAge(25-34),FemaleAge(35-44),FemaleAge(45-54),FemaleAge(55-64),FemaleAge(65-74),FemaleAge(75-84),FemaleAge(0ver85),TotalFemale(allages),WeeklyFamilyHouseholdsIncome(Negative),WeeklyFamilyHouseholdsIncome(1-149),WeeklyFamilyHouseholdsIncome(150-299),WeeklyFamilyHouseholdsIncome(300-399),WeeklyFamilyHouseholdsIncome(400-499),WeeklyFamilyHouseholdsIncome(500-649)WeeklyFamilyHouseholdsIncome(650-799),WeeklyFamilyHouseholdsIncome(800-999),,WeeklyFamilyHouseholdsIncome(1000-1249),WeeklyFamilyHouseholdsIncome(1250-1499),WeeklyFamilyHouseholdsIncome(1500-1749),WeeklyFamilyHouseholdsIncome(1750-1999),WeeklyFamilyHouseholdsIncome(2000-2499),WeeklyFamilyHouseholdsIncome(2500-2999),WeeklyFamilyHouseholdsIncome(3000-3499),WeeklyFamilyHouseholdsIncome(3500-3999),WeeklyFamilyHouseholdsIncome(Over4000),WeeklyFamilyHouseholdsIncome(PartialIncomeStated),WeeklyFamilyHouseholdsIncome(NotStated),WeeklyNon-FamilyHouseholdsIncome(Negative),WeeklyNon-FamilyHouseholdsIncome(1-149),WeeklyNon-FamilyHouseholdsIncome(150-299),WeeklyNon-FamilyNon-HouseholdsIncome(300-399),WeeklyNon-FamilyHouseholdsIncome(400-499),WeeklyNon-FamilyHouseholdsIncome(500-649)WeeklyNon-FamilyHouseholdsIncome(650-799),WeeklyNon-FamilyHouseholdsIncome(800-999),,WeeklyNon-FamilyHouseholdsIncome(1000-1249),WeeklyNon-FamilyHouseholdsIncome(1250-1499),WeeklyNon-FamilyHouseholdsIncome(1500-1749),WeeklyNon-FamilyHouseholdsIncome(1750-1999),WeeklyNon-FamilyHouseholdsIncome(2000-2499),WeeklyNon-FamilyHouseholdsIncome(2500-2999),WeeklyNon-FamilyHouseholdsIncome(3000-3499),WeeklyNon-FamilyHouseholdsIncome(3500-3999),WeeklyNon-FamilyHouseholdsIncome(Over4000),WeeklyNon-FamilyHouseholdsIncome(PartialIncomeStated),WeeklyNon-FamilyHouseholdsIncome(NotStated),NoneBedroom,1Bedroom,2Bedrooms,3Bedrooms,4Bedrooms,5Bedrooms,Bedrooms(Over6),NotStated,OneMethodbyTrain,OneMethodbyBus,OneMethodbyFerry,OneMethodbyTram(IncludesLightRail),OneMethodbyTaxi,OneMethodbyCarasDriver,OneMethodbyCarasPassenger,OneMethodbyTruck,OneMethodbyMotorbikeorscooter,OneMethodbyBicycle,OtherOneMethod,OneMethodbyWalk,TwoMethodsByTrainAndBus,TwoMethodsByTrainAndFerry,TwoMethodsByTrainAndTram(IncludesLightRail),,TwoMethodsByTrainAndCarasDriver,TwoMethodsByTrainAndCarasPassenger,TwoMethodsByBusAndFerry,TwoMethodsByBusAndTram(IncludesLightRail),,TwoMethodsByBusAndCarasDriver,TwoMethodsByBusAndCarasPassenger,OtherTwoMethods,ThreeMethodsByTrainandOtherTwoMethods,BusandTwoOtherMethods(ExcludesTrain),OtherThreeMethods,Male>=70,Male<70,Female>=70,Female<70,Person>=70,Person<70,LowIncomePersons,LowIncome%,LonePerson,LonePerson%,PercentofPublicTransportation
LGA10050,Albury(C),Albury,39,1421,642,231,1532,0.8,1185,2.3,24662,26411,305.9,51076,45032,4635,2982,2859,2707,2860,2726,2009,1013,340,22120,4425,3086,3019,2985,3092,3007,2234,1352,519,23712,71,55,92,113,396,409,1046,880,1133,1174,881,870,1594,1026,642,342,575,1136,236,147,94,401,642,1206,697,633,684,572,418,258,182,254,44,20,98,13,144,320,54,646,4188,8292,5026,683,128,475,15,126,6,3,38,16987,1102,134,118,218,99,760,3,0,0,8,0,4,0,0,4,13,4,141,6,0,11,2755,21909,3657,22760,6422,44676,15167,0.365751905083438,6019,0.131324591451574,1.68
LGA10130,ArmidaleRegional(A),Armidale.R.,36,1393,561,250,1465,0.8,1173,2.4,14227,15220,8620.7,29449,25226,2469,1782,1470,1312,1574,1505,1163,597,165,12032,2429,1821,1544,1487,1692,1648,1223,763,288,12897,56,28,60,55,204,248,575,511,599,628,469,465,784,487,304,188,346,680,116,76,58,221,306,607,349,348,286,281,160,149,116,159,20,9,49,8,89,186,32,472,1859,4269,2660,595,144,243,8,49,0,3,37,7906,796,151,102,117,91,663,0,0,0,4,0,0,0,0,3,7,4,101,3,3,7,1496,12724,1963,13246,3466,25986,9947,0.412481857764877,2985,0.119711249248045,1.84
LGA10250,Ballina(A),Ballina,48,1733,601,340,1426,0.8,1156,2.3,20127,21658,484.9,41790,37330,3441,1883,1582,2011,2465,2728,2415,1242,489,18255,3087,1793,1726,2277,2827,3087,2529,1553,753,19632,55,37,80,73,307,339,1108,824,1170,1050,709,762,1290,750,467,264,592,994,179,89,51,238,467,1107,612,497,434,409,221,164,143,163,25,13,73,8,119,311,54,569,3316,6910,4008,751,175,440,13,97,5,3,6,11946,788,202,108,213,117,548,3,0,0,8,0,0,0,0,4,14,4,130,0,0,10,3221,16909,4099,17545,7323,34469,13292,0.381296615031555,4598,0.121376907238266,1.98
LGA10300,Balranald(A),Balranald,41,950,624,150,1438,0.8,1174,2.5,1177,1115,21690.7,2287,1974,233,136,86,131,138,165,101,39,7,1041,206,92,121,117,127,162,78,62,13,979,10,0,6,0,8,20,40,45,50,58,57,39,55,41,10,3,20,83,18,12,4,9,34,47,20,24,16,16,9,7,3,3,0,0,7,0,6,24,3,30,113,376,214,20,8,36,0,3,0,0,0,601,48,12,5,6,15,104,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,112,1066,131,983,235,2055,623,0.345918933925597,221,0.109623015873016,0.75
LGA10470,BathurstRegional(A),Bathurst.R.,37,1670,646,280,1632,0.8,1310,2.5,20695,20605,3817.9,41300,36060,3980,2421,2259,2050,2240,2169,1662,754,230,17764,3691,2413,2238,2277,2455,2268,1731,958,385,18413,54,43,76,78,270,320,724,623,823,872,660,645,1256,899,619,339,525,942,164,96,55,261,349,849,436,374,395,381,278,216,178,175,27,12,58,8,108,214,52,531,2085,5559,4633,982,217,349,21,51,8,0,39,12835,962,209,61,85,83,685,4,0,0,10,0,0,0,0,3,7,6,100,8,0,8,2008,18681,2567,18041,4581,36723,11933,0.359633525210211,3887,0.107446926138877,1.44
LGA10500,Bayside(A),Bayside,39,2500,809,570,2468,0.8,2328,3.1,70323,73420,11501.72,143738,122704,14594,9811,6802,9311,9555,8229,5866,2481,753,67404,13781,9014,7158,10572,10514,8914,6228,2852,1172,70215,314,152,181,127,464,477,1255,1332,1967,1974,1696,1913,4511,3735,3150,2848,8272,3787,317,182,95,214,382,913,631,496,507,534,390,356,276,508,55,37,236,49,138,253,41,788,3319,11200,21096,6453,1197,624,1024,8865,7,15,74,43775,2523,383,274,159,299,810,1043,0,3,817,125,8,4,0,828,239,40,320,387,49,15,6356,63965,7835,65594,14196,129541,40098,0.349456180715332,5616,0.0408106910058062,30.8
LGA10550,BegaValley(A),Bega.V.,51,1343,538,250,1242,0.8,986,2.2,16252,17001,6278.9,33253,29762,2519,1363,1068,1313,1928,2624,2238,1069,305,14430,2385,1311,1162,1531,2192,2818,2208,1108,401,15114,63,67,75,76,391,337,999,752,1035,903,529,507,903,472,266,130,233,976,144,87,74,267,467,1068,457,384,398,303,193,92,88,82,9,4,56,3,52,257,97,622,2662,5913,2922,513,112,379,12,54,0,0,6,8566,530,177,65,56,110,644,0,0,0,4,0,0,0,0,3,9,0,77,0,0,11,2682,13558,2982,14007,5656,27593,11858,0.423590769450596,4024,0.136203628486326,1.54
LGA10600,Bellingen(A),Bellingen,49,1400,515,280,1218,0.8,997,2.3,6123,6548,1600.4,12668,11370,1023,541,421,574,752,980,761,396,100,5556,1045,485,455,654,925,1066,758,432,160,5976,18,18,35,29,129,147,380,301,395,317,211,230,312,175,88,56,91,368,48,36,18,108,174,387,178,127,122,124,57,34,35,44,7,0,16,3,21,103,52,274,949,2212,1103,191,49,140,3,10,0,0,3,3025,207,65,30,26,34,252,3,0,0,0,0,0,0,0,0,0,0,24,3,0,0,950,5155,1084,5467,2034,10635,4639,0.443287147634974,1440,0.124880756222357,1.17
LGA10650,Berrigan(A),Berrigan,49,1083,524,180,1251,0.7,967,2.2,4224,4236,2065.8,8462,7414,668,352,317,360,399,554,591,296,95,3632,640,304,339,405,429,565,544,305,110,3642,17,19,26,15,101,74,266,151,235,197,125,149,211,119,50,33,68,199,51,26,8,84,117,269,115,95,97,93,30,29,28,32,0,0,21,0,12,97,13,100,588,1525,781,120,26,112,3,8,0,3,0,2077,118,52,13,25,38,209,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,790,3451,847,3368,1639,6819,2950,0.420347677400969,1077,0.148163433759802,1.13
LGA10750,Blacktown(C),Blacktown,33,2150,672,380,1817,0.9,1711,3.2,167574,169390,240,336962,272053,37859,22682,23668,24273,19570,15459,9720,3936,960,158125,35771,21385,25677,24477,20256,16425,10442,4716,1534,160687,712,326,612,590,1847,2107,4680,4166,5734,6174,5502,5778,12099,8512,5785,3793,6600,7193,1163,618,223,1138,1817,2850,1181,1206,1545,1568,1158,882,666,891,168,86,256,73,390,1005,306,2153,9412,45627,33350,6367,1280,2615,13962,5325,14,22,292,91922,7669,1473,614,291,647,1717,4285,12,48,2885,1028,156,6,4,423,262,37,799,1346,31,29,9720,157866,12073,157323,21811,315162,100249,0.385119820518928,15363,0.048187971670002,22.65
