"postcode","lga_code19","LGAname"
"2134","11300","Burwood (A)"
"2121","16260","Parramatta (C)"
"2071","14500","Ku-ring-gai (A)"
"2033","16550","Randwick (C)"
"2163","12850","Fairfield (C)"
"2077","14000","Hornsby (A)"
"2073","14500","Ku-ring-gai (A)"
"2217","10500","Bayside (A)"
"2232","17150","Sutherland Shire (A)"
"2153","17420","The Hills Shire (A)"
"2196","11570","Canterbury-Bankstown (A)"
"2158","17420","The Hills Shire (A)"
"2122","16700","Ryde (C)"
"2200","11570","Canterbury-Bankstown (A)"
"2113","16700","Ryde (C)"
"2042","17200","Sydney (C)"
"2087","15990","Northern Beaches (A)"
"2580","13310","Goulburn Mulwaree (A)"
"2119","14000","Hornsby (A)"
"2234","17150","Sutherland Shire (A)"
"2115","16260","Parramatta (C)"
"2144","12380","Cumberland (A)"
"2127","16260","Parramatta (C)"
"2091","Notstated","Notstated"
"2170","14900","Liverpool (C)"
"2116","16260","Parramatta (C)"
"2777","10900","Blue Mountains (C)"
"2028","18500","Woollahra (A)"
"2769","10750","Blacktown (C)"
"2046","11520","Canada Bay (A)"
"2065","14700","Lane Cove (A)"
"2043","17200","Sydney (C)"
"2010","17200","Sydney (C)"
"2765","10750","Blacktown (C)"
"2064","18250","Willoughby (C)"
"2117","16260","Parramatta (C)"
"2761","10750","Blacktown (C)"
"2040","14170","Inner West (A)"
"2047","11520","Canada Bay (A)"
"2076","14500","Ku-ring-gai (A)"
"2749","16350","Penrith (C)"
"2029","18500","Woollahra (A)"
"2766","10750","Blacktown (C)"
"2011","17200","Sydney (C)"
"2110","14100","Hunters Hill (A)"
"2800","16150","Orange (C)"
"2020","10500","Bayside (A)"
"2207","10500","Bayside (A)"
"2120","14000","Hornsby (A)"
"2126","14000","Hornsby (A)"
"2023","18500","Woollahra (A)"
"2257","11650","Central Coast (C) (NSW)"
"2114","16700","Ryde (C)"
"2096","15990","Northern Beaches (A)"
"2204","14170","Inner West (A)"
"2030","18050","Waverley (A)"
"2763","10750","Blacktown (C)"
"2145","12380","Cumberland (A)"
"2024","18050","Waverley (A)"
"2230","17150","Sutherland Shire (A)"
"2570","11450","Camden (A)"
"2566","11500","Campbelltown (C) (NSW)"
"2756","13800","Hawkesbury (C)"
"2218","12930","Georges River (A)"
"2456","11800","Coffs Harbour (C)"
"2089","15950","North Sydney (A)"
"2027","18500","Woollahra (A)"
"2026","18050","Waverley (A)"
"2325","11720","Cessnock (C)"
"2576","18350","Wingecarribee (A)"
"2112","16700","Ryde (C)"
"2021","18500","Woollahra (A)"
"2773","10900","Blue Mountains (C)"
"2224","17150","Sutherland Shire (A)"
"2015","17200","Sydney (C)"
"2008","17200","Sydney (C)"
"2022","18050","Waverley (A)"
"2093","15990","Northern Beaches (A)"
"2479","11350","Byron (A)"
"2025","18500","Woollahra (A)"
"2125","17420","The Hills Shire (A)"
"2068","18250","Willoughby (C)"
"2141","12380","Cumberland (A)"
"2760","16350","Penrith (C)"
"2031","16550","Randwick (C)"
"2090","15950","North Sydney (A)"
"2306","14650","Lake Macquarie (C)"
"2517","18450","Wollongong (C)"
"2575","18350","Wingecarribee (A)"
"2450","11800","Coffs Harbour (C)"
"2193","11570","Canterbury-Bankstown (A)"
"2160","12380","Cumberland (A)"
"2250","11650","Central Coast (C) (NSW)"
"2151","16260","Parramatta (C)"
"2088","15350","Mosman (A)"
"2128","16260","Parramatta (C)"
"2075","14500","Ku-ring-gai (A)"
"2171","14900","Liverpool (C)"
"2070","14500","Ku-ring-gai (A)"
"2425","15240","Mid-Coast (A)"
"2516","18450","Wollongong (C)"
"2206","11570","Canterbury-Bankstown (A)"
"2080","14000","Hornsby (A)"
"2430","15240","Mid-Coast (A)"
"2228","17150","Sutherland Shire (A)"
"2231","17150","Sutherland Shire (A)"
"2097","15990","Northern Beaches (A)"
"2118","16260","Parramatta (C)"
"2101","15990","Northern Beaches (A)"
"2297","15900","Newcastle (C)"
"2233","17150","Sutherland Shire (A)"
"2104","15990","Northern Beaches (A)"
"2747","16350","Penrith (C)"
"2100","15990","Northern Beaches (A)"
"2067","18250","Willoughby (C)"
"2795","10470","Bathurst Regional (A)"
"2072","14500","Ku-ring-gai (A)"
"2567","11450","Camden (A)"
"2577","18350","Wingecarribee (A)"
"2019","10500","Bayside (A)"
"2069","14500","Ku-ring-gai (A)"
"2533","14400","Kiama (A)"
"2216","10500","Bayside (A)"
"2132","11300","Burwood (A)"
"2142","12380","Cumberland (A)"
"2229","17150","Sutherland Shire (A)"
"2481","11350","Byron (A)"
"2095","15990","Northern Beaches (A)"
"2260","11650","Central Coast (C) (NSW)"
"2041","14170","Inner West (A)"
"2099","15990","Northern Beaches (A)"
"2298","15900","Newcastle (C)"
"2018","17200","Sydney (C)"
